Kanji,Kanji_Core_Meaning,Word,Word_Reading,English_Meaning,Connection_Type,Figurative_Note,Position_in_Deck
分,"part, minute of time",分野,ぶんや,"field, sphere",direct,,627
分,"part, minute of time",随分,ずいぶん,"extremely, considerably",direct,,1674
何,what,何,なに,"what, which",direct,,45
何,what,何か,なにか,"something, some",direct,,386
何,what,何度,なんど,"how many degrees, how many times",direct,,592
何,what,何,なん,"what, which",direct,,1812
先,"before, ahead",先,さき,"ahead, first",direct,,46
先,"before, ahead",先生,せんせい,teacher (respectful title),direct,,210
先,"before, ahead",先月,せんげつ,last month,direct,,388
先,"before, ahead",先週,せんしゅう,last week,direct,,390
今,now,今年,ことし,this year,direct,,47
今,now,今,いま,now,direct,,48
今,now,今日,きょう,today,direct,,49
今,now,今月,こんげつ,this month,direct,,50
今,now,今週,こんしゅう,this week,direct,,51
今,now,今晩,こんばん,"this evening, tonight",direct,,123
今,now,今まで,いままで,"until now, so far",direct,,391
今,now,今後,こんご,"after this, in the future (formal)",direct,,509
今,now,今朝,けさ,this morning,direct,,521
今,now,今夜,こんや,"tonight, this evening",direct,,528
今,now,今度,こんど,"this time, next time",direct,,590
今,now,今回,こんかい,this time,direct,,786
来,"come, due",来る,くる,come,direct,,52
来,"come, due",来年,らいねん,next year,direct,,53
来,"come, due",来月,らいげつ,next month,direct,,392
来,"come, due",来週,らいしゅう,next week,direct,,393
来,"come, due",未来,みらい,future,direct,,636
来,"come, due",持って来る,もってくる,bring (something),direct,,738
来,"come, due",連れて来る,つれてくる,bring (a person),direct,,1134
来,"come, due",従来,じゅうらい,"former, old",figurative,"follow + come → what has ""followed along"" until now → former, up until now",1181
来,"come, due",再来年,さらいねん,the year after next,direct,,1495
来,"come, due",再来月,さらいげつ,the month after next,direct,,1496
来,"come, due",再来週,さらいしゅう,the week after next,direct,,1497
行,"going, journey",行く,いく,go,direct,,55
行,"going, journey",飛行機,ひこうき,airplane,direct,,298
行,"going, journey",行う,おこなう,"do, carry out",direct,,394
行,"going, journey",行き,いき,going,direct,,395
行,"going, journey",銀行,ぎんこう,bank,direct,,621
行,"going, journey",持って行く,もっていく,take (somewhere),direct,,736
行,"going, journey",急行,きゅうこう,"express train, going in a hurry",direct,,845
行,"going, journey",実行,じっこう,"(putting into) practice, execution",direct,,923
行,"going, journey",旅行,りょこう,"travel, trip",direct,,993
行,"going, journey",飛行場,ひこうじょう,"airport, airfield",direct,,1103
行,"going, journey",連れて行く,つれていく,take (a person) along,direct,,1133
行,"going, journey",流行る,はやる,"be in fashion, be popular",figurative,"flow + go/move → things ""flowing along"" → be in fashion, popular",1240
行,"going, journey",行き,ゆき,going,direct,,1814
帰,"homecoming, arrive at",帰る,かえる,"return, go back",direct,,56
帰,"homecoming, arrive at",帰り,かえり,"return trip, going home",direct,,396
帰,"homecoming, arrive at",帰国,きこく,return to one's country,direct,,612
大,"large, big",大きい,おおきい,big,direct,,57
大,"large, big",大人,おとな,adult,direct,,71
大,"large, big",大好き,だいすき,love,direct,,93
大,"large, big",大学,だいがく,"university, college",direct,,211
大,"large, big",大学生,だいがくせい,university student,direct,,213
大,"large, big",大丈夫,だいじょうぶ,"alright, okay",figurative,"big + hero/guardian + husband → old term for ""a sturdy man"" → now means fine/OK",369
大,"large, big",大きさ,おおきさ,"size, dimensions",direct,,398
大,"large, big",大分,だいぶ,"very, greatly",direct,,399
大,"large, big",大人しい,おとなしい,"gentle, quiet, subdued",direct,,421
大,"large, big",最大,さいだい,"biggest, largest",direct,,505
大,"large, big",大会,たいかい,"mass meeting, tournament",direct,,551
大,"large, big",大事,だいじ,important (thing),direct,,564
大,"large, big",大切,たいせつ,"important, valuable",figurative,"big + cut → cutting deep, vital → important",850
大,"large, big",大変,たいへん,"awful, serious",figurative,"big + change → a big change → serious, awful",870
大,"large, big",大型,おおがた,"large, large scale",direct,,971
大,"large, big",大使館,たいしかん,embassy,direct,,994
大,"large, big",大学院,だいがくいん,graduate school,direct,,1054
大,"large, big",拡大,かくだい,"magnification, enlargement",direct,,1172
大,"large, big",大統領,だいとうりょう,president (of a country),figurative,big + govern/unify + territory/govern → a formal political coinage → president (of a country),1227
大,"large, big",大幅,おおはば,"drastically, substantially",direct,,1299
大,"large, big",大嫌い,だいきらい,hate,direct,,1554
大,"large, big",大抵,たいてい,"generally, mostly",direct,,1555
大,"large, big",大勢,おおぜい,"many (people), a crowd",direct,,1556
小,"little, small",小さい,ちいさい,small,direct,,58
小,"little, small",小学生,しょうがくせい,elementary school student,direct,,752
小,"little, small",小学校,しょうがっこう,elementary school,direct,,756
小,"little, small",小説,しょうせつ,"novel, story",direct,,1095
小,"little, small",小包,こづつみ,"parcel, package",direct,,1632
少,"few, little",少ない,すくない,"few, little",direct,,59
少,"few, little",少し,すこし,"a little, a little while (polite)",direct,,60
少,"few, little",少年,しょうねん,boy,direct,,401
少,"few, little",少しも,すこしも,(not) one bit,direct,,402
少,"few, little",少々,しょうしょう,"a little, a few (formal)",direct,,403
多,"many, frequent",多い,おおい,lots of,direct,,61
多,"many, frequent",多分,たぶん,"probably, perhaps",direct,,62
多,"many, frequent",多く,おおく,"many, much",direct,,404
上,"above, up",上げる,あげる,"raise, improve",direct,,63
上,"above, up",上る,のぼる,"go up, climb up",direct,,65
上,"above, up",上,うえ,"up, above",direct,,66
上,"above, up",上手,じょうず,"skilled,&nbsp;good",figurative,above + hand → skilled,86
上,"above, up",上がる,あがる,"go up, rise",direct,,405
上,"above, up",上がる,あがる,"get nervous, get stage fright",direct,,407
上,"above, up",年上,としうえ,"older, senior",direct,,408
上,"above, up",上り,のぼり,"going up, ascent",direct,,409
上,"above, up",上着,うわぎ,outerwear,direct,,886
上,"above, up",以上,いじょう,"more than,&nbsp;not less than",figurative,"by means of + above → ""from above this point"" → more than",992
上,"above, up",上昇,じょうしょう,"a rise, an increase",direct,,1395
下,"below, down",下,した,"under, below",direct,,67
下,"below, down",下げる,さげる,"lower, turn down",direct,,410
下,"below, down",下がる,さがる,"come down, hang (down), fall",direct,,411
下,"below, down",下りる,おりる,"go down, climb down",direct,,412
下,"below, down",下ろす,おろす,"bring down, take down, withdraw (money)",direct,,413
下,"below, down",下り,くだり,"downhill, going down",direct,,414
下,"below, down",年下,としした,"junior, younger person",direct,,416
下,"below, down",下る,くだる,"go down, go downward",direct,,417
下,"below, down",下手,へた,not good at,figurative,below + hand → unskilled,436
下,"below, down",地下鉄,ちかてつ,subway,direct,,623
下,"below, down",下着,したぎ,underwear,direct,,885
下,"below, down",靴下,くつした,"socks, stockings",direct,,1744
下,"below, down",廊下,ろうか,"hallway, corridor",direct,,1747
右,right,右,みぎ,right,direct,,68
右,right,右手,みぎて,right hand,direct,,434
右,right,右側,みぎがわ,right side,direct,,1338
左,left,左,ひだり,left,direct,,69
左,left,左手,ひだりて,left hand,direct,,435
左,left,左側,ひだりがわ,left side,direct,,1337
方,"direction, person",方,ほう,"direction, side",direct,,70
方,"direction, person",一方,いっぽう,one way,direct,,418
方,"direction, person",方向,ほうこう,"direction, course",direct,,491
方,"direction, person",夕方,ゆうがた,evening,direct,,531
方,"direction, person",見方,みかた,"view, way of looking",direct,,537
方,"direction, person",言い方,いいかた,"way of speaking, expression",direct,,539
方,"direction, person",読み方,よみかた,"way to read, reading",direct,,543
方,"direction, person",書き方,かきかた,"how to write, way of writing",direct,,548
方,"direction, person",仕方,しかた,"way, method",direct,,560
方,"direction, person",方法,ほうほう,"way, method, procedure",direct,,796
方,"direction, person",両方,りょうほう,both,direct,,1330
方,"direction, person",方針,ほうしん,"course, policy",figurative,"direction + needle → like a compass needle → policy, course",1570
方,"direction, person",方,かた,person (polite),direct,,1817
人,person,大人,おとな,adult,direct,,71
人,person,人,ひと,person,direct,,72
人,person,一人,ひとり,"one, one person",direct,,73
人,person,ご主人,ごしゅじん,(your) husband,direct,,288
人,person,二人,ふたり,two persons,direct,,420
人,person,大人しい,おとなしい,"gentle, quiet, subdued",direct,,421
人,person,人々,ひとびと,people (polite),direct,,422
人,person,一人で,ひとりで,by oneself,direct,,423
人,person,外人,がいじん,"foreigner, alien (less polite)",direct,,424
人,person,人口,じんこう,population,direct,,430
人,person,人気,にんき,popularity,figurative,person + spirit → the collective attention toward someone → popularity,470
人,person,人間,にんげん,"human being, people",figurative,"person + interval/space → originally ""the human world/society"" → shifted to mean ""human"" itself",502
人,person,外国人,がいこくじん,foreigner (polite),direct,,613
人,person,個人,こじん,"individual, personal",direct,,789
人,person,人形,にんぎょう,doll,direct,,969
人,person,主人,しゅじん,"husband,&nbsp;the head of the house",direct,,1033
人,person,恋人,こいびと,"boyfriend/girlfriend, lover",direct,,1424
人,person,美人,びじん,beautiful woman,direct,,1506
人,person,人参,にんじん,carrot,direct,,1677
入,"enter, insert",入れる,いれる,put in,direct,,75
入,"enter, insert",入る,はいる,enter,direct,,76
入,"enter, insert",入り口,いりぐち,entrance,direct,,433
入,"enter, insert",気に入る,きにいる,"like, be pleased with",figurative,spirit + enter → something enters your spirit → come to like it,469
入,"enter, insert",入学,にゅうがく,"admission to a school, starting school",direct,,750
入,"enter, insert",押し入れ,おしいれ,closet,direct,,772
入,"enter, insert",入場券,にゅうじょうけん,entrance ticket,direct,,852
入,"enter, insert",入院,にゅういん,be hospitalized,direct,,1053
入,"enter, insert",輸入,ゆにゅう,import,direct,,1308
入,"enter, insert",導入,どうにゅう,"introduction, bringing in",direct,,1405
出,"exit, leave",出る,でる,"go out, leave",direct,,77
出,"exit, leave",出す,だす,"take out, turn in",direct,,78
出,"exit, leave",出口,でぐち,"exit, exit ramp",direct,,431
出,"exit, leave",思い出す,おもいだす,"recollect, recall",figurative,thought + comes out → a memory surfacing,687
出,"exit, leave",思い出,おもいで,"recollections, memory",figurative,"same logic as 思い出す → a memory that has ""come out""",688
出,"exit, leave",引き出し,ひきだし,"drawer, withdrawal",direct,,770
出,"exit, leave",貸し出す,かしだす,lend out<br>(used for businesses/banks),direct,,835
出,"exit, leave",出席,しゅっせき,"attendance, presence",direct,,893
出,"exit, leave",出発,しゅっぱつ,"departure, starting",direct,,934
出,"exit, leave",輸出,ゆしゅつ,export,direct,,1309
出,"exit, leave",出かける,でかける,"go out, be about to go out",direct,,1646
本,"book, present",本,ほん,"book, volume",direct,,79
本,"book, present",本当に,ほんとうに,"really, truly",direct,,227
本,"book, present",本屋,ほんや,"bookstore, bookseller",direct,,629
本,"book, present",本当,ほんとう,"truth, reality, genuine",direct,,793
本,"book, present",基本,きほん,"basis, foundation",direct,,1086
本,"book, present",本棚,ほんだな,bookshelf,direct,,1569
本,"book, present",本箱,ほんばこ,bookcase,direct,,1625
休,"rest, day off",休む,やすむ,"take a day off, take a break",direct,,80
休,"rest, day off",休日,きゅうじつ,"holiday, day off",direct,,426
休,"rest, day off",休み,やすみ,"rest, holiday, absence",direct,,427
休,"rest, day off",昼休み,ひるやすみ,"noon recess, lunch break",direct,,523
休,"rest, day off",夏休み,なつやすみ,summer vacation,direct,,664
休,"rest, day off",冬休み,ふゆやすみ,winter vacation,direct,,665
休,"rest, day off",休校,きゅうこう,temporary school closure,direct,,760
休,"rest, day off",休憩,きゅうけい,"<div>break (from work, study, etc.)</div>",direct,,1589
体,"body, substance",体,からだ,"body, health",direct,,81
体,"body, substance",全体,ぜんたい,"whole, total",direct,,602
体,"body, substance",具体的,ぐたいてき,"specific, concrete",figurative,"tool/equip + body → ""equipped with a body"" → concrete, specific",1084
目,"eye, class",目,め,eye,direct,,82
目,"eye, class",目覚まし時計,めざましどけい,alarm clock,direct,,820
目,"eye, class",目立つ,めだつ,"stand out, be conspicuous",figurative,eye + stand → catches the eye → stands out,890
目,"eye, class",真面目,まじめ,"serious, sober, earnest",direct,,963
目,"eye, class",目的,もくてき,"objective, purpose",figurative,"eye + -like/aim → the eye extended to ""aim"" → objective, purpose",1046
目,"eye, class",注目,ちゅうもく,"attention, notice",figurative,"pour + eye → pouring your gaze → attention, notice",1072
口,mouth,口,くち,mouth,direct,,84
口,mouth,人口,じんこう,population,direct,,430
口,mouth,出口,でぐち,"exit, exit ramp",direct,,431
口,mouth,入り口,いりぐち,entrance,direct,,433
口,mouth,早口,はやくち,fast talking,direct,,913
口,mouth,改札口,かいさつぐち,ticket barrier,figurative,"change + examine + mouth/opening → where tickets are ""checked"" → ticket barrier",1396
耳,ear,耳,みみ,"ear, hearing",direct,,85
手,hand,上手,じょうず,"skilled,&nbsp;good",figurative,above + hand → skilled,86
手,hand,手,て,hand,direct,,87
手,hand,お手洗い,おてあらい,bathroom (polite),direct,,308
手,hand,手伝う,てつだう,"help, assist",direct,,355
手,hand,右手,みぎて,right hand,direct,,434
手,hand,左手,ひだりて,left hand,direct,,435
手,hand,下手,へた,not good at,figurative,below + hand → unskilled,436
手,hand,空手,からて,"karate, empty hand",direct,,444
手,hand,手術,しゅじゅつ,surgical operation,direct,,814
手,hand,切手,きって,postage stamp,figurative,cut + hand → historically a cut receipt/token → postage stamp,847
手,hand,運転手,うんてんしゅ,driver,direct,,901
手,hand,手紙,てがみ,letter,figurative,"hand + paper → originally ""toilet paper"" in Chinese, shifted meaning in Japanese → letter",943
手,hand,歌手,かしゅ,singer,direct,,953
手,hand,相手,あいて,"opponent, partner",figurative,"mutual + hand → the ""hand"" you're paired with → the other party",1136
手,hand,選手,せんしゅ,player (in a game); team member,direct,,1158
手,hand,苦手,にがて,"weak point, (sb) hard to deal with",figurative,"bitter + hand → gives you a ""bitter hand"" → a weak point",1375
手,hand,手袋,てぶくろ,gloves,direct,,1626
手,hand,手帳,てちょう,"pocketbook, memo",direct,,1636
手,hand,拍手,はくしゅ,"applause, clapping",direct,,1650
手,hand,握手,あくしゅ,"handshake, handshaking",direct,,1656
足,"leg, foot",足,あし,"leg, foot",direct,,88
足,"leg, foot",足りる,たりる,"be enough, be sufficient",direct,,438
足,"leg, foot",足す,たす,"add, supplement<div>(the same kind of thing)</div>",direct,,439
足,"leg, foot",足し算,たしざん,addition,direct,,824
空,"empty, sky",空く,すく,"become empty, become less crowded",direct,,89
空,"empty, sky",空く,あく,become available or vacant,direct,,443
空,"empty, sky",空手,からて,"karate, empty hand",direct,,444
空,"empty, sky",空,そら,"sky, weather",direct,,445
空,"empty, sky",空気,くうき,"air, atmosphere",direct,,468
空,"empty, sky",航空便,こうくうびん,airmail,direct,,1104
空,"empty, sky",空港,くうこう,airport,direct,,1107
供,"submit, offer",子供,こども,"child, kid",direct,,90
供,"submit, offer",提供,ていきょう,"offer, provide",direct,,1129
子,"child, sign of the rat",子供,こども,"child, kid",direct,,90
子,"child, sign of the rat",息子,むすこ,son,direct,,281
子,"child, sign of the rat",子,こ,"child, kid",direct,,460
子,"child, sign of the rat",女の子,おんなのこ,"girl, baby girl",direct,,461
子,"child, sign of the rat",男の子,おとこのこ,"boy, baby boy",direct,,462
子,"child, sign of the rat",お菓子,おかし,"sweets, snacks",direct,,1616
子,"child, sign of the rat",帽子,ぼうし,hat,direct,,1692
子,"child, sign of the rat",茄子,なす,eggplant,direct,,1763
子,"child, sign of the rat",椅子,いす,chair,direct,,1764
好,"fond, pleasing",好き,すき,"favorite, liked",direct,,92
好,"fond, pleasing",大好き,だいすき,love,direct,,93
私,"private, i",私,わたし,I,direct,,94
私,"private, i",私たち,わたしたち,we,direct,,463
友,friend,友達,ともだち,"friend, companion",direct,,95
達,"accomplished, reach",友達,ともだち,"friend, companion",direct,,95
達,"accomplished, reach",達する,たっする,"attain, reach",direct,,464
達,"accomplished, reach",配達,はいたつ,delivery,direct,,724
達,"accomplished, reach",速達,そくたつ,express mail,direct,,915
家,"house, home",家,うち,"house, home, my family",direct,,96
家,"house, home",家,いえ,"house, home",direct,,465
家,"house, home",家内,かない,my wife,direct,,466
家,"house, home",家賃,やちん,rent (money),direct,,853
家,"house, home",家族,かぞく,"family, household",direct,,1007
家,"house, home",家庭,かてい,"home, family",direct,,1462
気,"spirit, mind",気,き,"spirit, temperament",direct,,97
気,"spirit, mind",元気,げんき,"healthy, energetic",figurative,"origin + spirit → one's original vitality → healthy, energetic",98
気,"spirit, mind",天気,てんき,weather,figurative,"heaven + spirit → the sky's ""mood"" → weather",99
気,"spirit, mind",気持ち,きもち,"feeling (about something, emotion)",figurative,"気 (spirit/energy) + 持つ (hold) → ""holding a feeling""",207
気,"spirit, mind",病気,びょうき,illness,figurative,sickness + spirit → an ailing spirit → illness,291
気,"spirit, mind",空気,くうき,"air, atmosphere",direct,,468
気,"spirit, mind",気に入る,きにいる,"like, be pleased with",figurative,spirit + enter → something enters your spirit → come to like it,469
気,"spirit, mind",人気,にんき,popularity,figurative,person + spirit → the collective attention toward someone → popularity,470
気,"spirit, mind",電気,でんき,"electricity, electric light",direct,,569
気,"spirit, mind",気温,きおん,atmospheric temperature,direct,,674
気,"spirit, mind",天気予報,てんきよほう,weather forecast,direct,,863
気,"spirit, mind",気を付ける,きをつける,"take care of, pay attention to",figurative,attach your spirit/attention (to something) → be careful,1361
元,"beginning, former time",元気,げんき,"healthy, energetic",figurative,"origin + spirit → one's original vitality → healthy, energetic",98
元,"beginning, former time",元旦,がんたん,New Year's Day,direct,,1750
